Rk,Player,PlayerID,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
105,Gorgui Dieng,dienggo01,PF,27,MIN,22,22,31.3,4.2,8.1,.514,0.1,0.5,.273,4.0,7.6,.530,.522,1.7,2.3,.725,2.6,5.5,8.1,2.4,1.0,1.2,2.0,3.5,10.2
106,Toney Douglas,douglto01,PG,30,MEM,3,0,13.3,1.3,3.3,.400,0.3,1.3,.250,1.0,2.0,.500,.450,1.3,1.3,1.000,0.3,1.3,1.7,1.3,0.0,0.0,0.3,0.7,4.3
107,Goran Dragic,dragigo01,PG,30,MIA,17,17,33.5,6.5,14.5,.445,1.5,3.6,.410,5.0,10.9,.457,.496,3.6,4.5,.792,0.9,2.9,3.8,6.5,1.1,0.2,2.9,2.9,18.0
108,Andre Drummond,drumman01,C,23,DET,23,23,29.7,6.4,12.0,.535,0.0,0.0,1.000,6.3,11.9,.533,.536,1.8,4.0,.452,3.5,9.8,13.3,1.3,1.6,1.2,1.9,2.5,14.7
109,Jared Dudley,dudleja01,PF,31,PHO,21,7,24.8,3.0,6.4,.470,1.5,3.6,.413,1.5,2.8,.542,.586,1.0,1.6,.606,0.7,3.2,3.9,2.0,0.9,0.2,1.3,2.8,8.4
110,Mike Dunleavy,dunlemi02,SF,36,CLE,16,1,15.0,1.3,3.9,.339,0.8,2.6,.286,0.6,1.3,.450,.435,0.5,0.6,.800,0.1,1.6,1.6,0.9,0.3,0.1,0.4,1.1,3.9
111,Kris Dunn,dunnkr01,PG,22,MIN,22,5,17.7,1.5,3.8,.393,0.3,0.7,.400,1.2,3.1,.391,.429,0.9,1.4,.645,0.4,1.8,2.1,2.9,1.2,0.3,1.4,2.3,4.2
112,Kevin Durant,duranke01,SF,28,GSW,23,23,34.4,9.2,16.8,.549,1.9,4.7,.407,7.3,12.1,.604,.606,5.9,6.8,.860,0.7,7.8,8.5,4.8,1.4,1.7,2.1,2.2,26.2
113,Henry Ellenson,ellenhe01,PF,20,DET,5,0,2.8,0.2,0.6,.333,0.0,0.0,,0.2,0.6,.333,.333,0.0,0.0,,0.2,1.0,1.2,0.2,0.0,0.0,0.0,0.0,0.4
114,Wayne Ellington,ellinwa01,SG,29,MIA,6,3,34.0,5.8,12.3,.473,3.0,7.8,.383,2.8,4.5,.630,.595,0.8,1.2,.714,0.0,1.8,1.8,2.0,1.0,0.0,0.3,0.8,15.5
